shade_id,brand,shade_code,shade_name,depth,undertone,oxidation,notes
KB_100P,Kay Beauty,100P,Light Pink,Fair,Cool Pink,Low,
KB_105Y,Kay Beauty,105Y,Light Warm,Fair,Warm Golden,Low,
KB_110N,Kay Beauty,110N,Light Neutral,Fair,Neutral,Low,
KB_120Y,Kay Beauty,120Y,Light Warm,Fair,Warm Golden,Low,
KB_125Y,Kay Beauty,125Y,Medium Warm,Medium,Warm Golden,Low,
KB_130Y,Kay Beauty,130Y,Medium Warm,Medium,Warm Golden,Low,
KB_135N,Kay Beauty,135N,Medium Neutral,Medium,Neutral,Low,
KB_140P,Kay Beauty,140P,Medium Cool,Medium,Cool Pink,Low,
KB_145N,Kay Beauty,145N,Medium Neutral,Medium,Neutral,Low,
KB_150N,Kay Beauty,150N,Tan Neutral,Tan,Neutral,Low,
KB_155Y,Kay Beauty,155Y,Tan Warm,Tan,Warm Golden,Low,
KB_160P,Kay Beauty,160P,Tan Cool,Tan,Cool Pink,Low,
KB_165N,Kay Beauty,165N,Tan Neutral,Tan,Neutral,Low,
KB_170Y,Kay Beauty,170Y,Tan Warm,Tan,Warm Olive,Low,
KB_175N,Kay Beauty,175N,Deep Neutral,Deep,Neutral,Low,
KB_180Y,Kay Beauty,180Y,Deep Warm,Deep,Warm Golden,Low,
KB_185P,Kay Beauty,185P,Deep Cool,Deep,Cool Pink,Low,
KB_190Y,Kay Beauty,190Y,Deep Warm,Deep,Warm Olive,Low,
KB_195N,Kay Beauty,195N,Deep Neutral,Deep,Neutral Warm,Low,
,,,,,,,
LP_C100,Lakme Powerplay,C100,Cool Ivory,Fair,Cool Pink,Low,
LP_W110,Lakme Powerplay,W110,Warm Light,Fair,Warm Golden,Low,
LP_W120,Lakme Powerplay,W120,Warm Crème,Fair,Warm Golden,Low,
LP_C140,Lakme Powerplay,C140,Cool Rose,Fair,Cool Pink,Low,
LP_N150,Lakme Powerplay,N150,Neutral Light,Fair,Neutral,Low,
LP_W160,Lakme Powerplay,W160,Warm Sand,Medium,Warm Golden,Low,
LP_W180,Lakme Powerplay,W180,Warm Natural,Medium,Warm Golden,Low,
LP_N200,Lakme Powerplay,N200,Neutral Nude,Medium,Neutral,Low,
LP_N220,Lakme Powerplay,N220,Neutral Medium,Medium,Neutral Warm,Low,
LP_W230,Lakme Powerplay,W230,Warm Wood,Tan,Warm Golden,Low,
LP_W240,Lakme Powerplay,W240,Warm Beige,Tan,Olive,Low,Olive reference shade
LP_N260,Lakme Powerplay,N260,Neutral Honey,Tan,Neutral Warm,Low,
LP_C280,Lakme Powerplay,C280,Cool Tan,Tan,Cool Neutral,Low,
LP_C300,Lakme Powerplay,C300,Cool Cinnamon,Deep,Cool Neutral,Low,
LP_W320,Lakme Powerplay,W320,Warm Caramel,Deep,Warm Olive,Low,
LP_C330,Lakme Powerplay,C330,Cool Mocha,Deep,Cool Pink,Low,
LP_N340,Lakme Powerplay,N340,Neutral Almond,Deep,Neutral Warm,Low,
LP_N360,Lakme Powerplay,N360,Neutral Chestnut,Deep,Neutral Warm,Low,
LP_C380,Lakme Powerplay,C380,Cool Walnut,Deep,Cool Pink,Low,
LP_C390,Lakme Powerplay,C390,Cool Cocoa,Deep,Cool Pink,Low,
,,,,,,,
MFM_112,Maybelline Fit Me,112,Natural Ivory,Fair,Cool Neutral,Medium,
MFM_115,Maybelline Fit Me,115,Ivory,Fair,Cool Neutral,Medium,
MFM_118,Maybelline Fit Me,118,Light Beige,Fair,Neutral,Medium,
MFM_120,Maybelline Fit Me,120,Classic Ivory,Fair,Neutral Warm,Medium,
MFM_128,Maybelline Fit Me,128,Warm Nude,Fair,Warm Golden,Medium,
MFM_130,Maybelline Fit Me,130,Buff Beige,Light-Medium,Neutral Warm,Medium,
MFM_220,Maybelline Fit Me,220,Natural Beige,Medium,Olive,Medium,
MFM_228,Maybelline Fit Me,228,Soft Tan,Tan,Warm Olive,Medium,
MFM_230,Maybelline Fit Me,230,Natural Buff,Medium,Neutral,Medium,
MFM_235,Maybelline Fit Me,235,Pure Beige,Medium-Tan,Neutral,Medium,
MFM_310,Maybelline Fit Me,310,Sun Beige,Medium,Neutral Warm,Medium,
MFM_330,Maybelline Fit Me,330,Toffee,Tan,Warm Neutral,Medium,
MFM_332,Maybelline Fit Me,332,Golden Caramel,Deep,Warm Olive,Medium,
MFM_335,Maybelline Fit Me,335,Classic Tan,Deep,Neutral Warm,Medium,
MFM_338,Maybelline Fit Me,338,Spicy Brown,Deep,Warm Golden,Medium,
,,,,,,,
FB_100,Fenty Beauty,100,Shade 100,Fair,Cool Pink,,
FB_105,Fenty Beauty,105,Shade 105,Fair,Warm Golden,,
FB_110,Fenty Beauty,110,Shade 110,Fair,Cool Pink,,
FB_120,Fenty Beauty,120,Shade 120,Fair,Neutral,,
FB_130,Fenty Beauty,130,Shade 130,Fair,Warm Golden,,
FB_140,Fenty Beauty,140,Shade 140,Light,Warm Golden,,
FB_145,Fenty Beauty,145,Shade 145,Light,Neutral,,
FB_150,Fenty Beauty,150,Shade 150,Light,Warm Golden,,
FB_170,Fenty Beauty,170,Shade 170,Light,Cool Neutral,,
FB_180,Fenty Beauty,180,Shade 180,Light,Neutral,,
FB_185,Fenty Beauty,185,Shade 185,Light-Medium,Warm Golden,,
FB_190,Fenty Beauty,190,Shade 190,Light-Medium,Olive,,
FB_200,Fenty Beauty,200,Shade 200,Light-Medium,Cool Neutral,,
FB_210,Fenty Beauty,210,Shade 210,Light-Medium,Neutral,,
FB_220,Fenty Beauty,220,Shade 220,Light-Medium,Warm Golden,,
FB_230,Fenty Beauty,230,Shade 230,Light-Medium,Warm Olive,,
FB_235,Fenty Beauty,235,Shade 235,Medium,Olive,,
FB_240,Fenty Beauty,240,Shade 240,Medium,Warm Golden,,
FB_250,Fenty Beauty,250,Shade 250,Medium,Neutral,,
FB_255,Fenty Beauty,255,Shade 255,Medium,Olive,,
FB_260,Fenty Beauty,260,Shade 260,Medium-Tan,Warm Golden,,
FB_270,Fenty Beauty,270,Shade 270,Medium-Tan,Warm Olive,,
FB_280,Fenty Beauty,280,Shade 280,Tan,Warm Golden,,
FB_290,Fenty Beauty,290,Shade 290,Tan,Olive,,
FB_300,Fenty Beauty,300,Shade 300,Tan,Warm Golden,,
FB_310,Fenty Beauty,310,Shade 310,Tan,Neutral,,
FB_330,Fenty Beauty,330,Shade 330,Deep,Warm Golden,,
FB_345,Fenty Beauty,345,Shade 345,Deep,Olive,,
FB_370,Fenty Beauty,370,Shade 370,Deep,Warm Golden,,
FB_385,Fenty Beauty,385,Shade 385,Deep,Cool Neutral,,
FB_445,Fenty Beauty,445,Shade 445,Deep,Cool Neutral,,
FB_498,Fenty Beauty,498,Shade 498,Deep,Neutral,,
