shade_id,brand,shade_code,shade_name,depth,undertone,oxidation,notes
KB_100P,Kay Beauty,100P,Light Pink,Fair,Cool Pink,Low,
KB_105Y,Kay Beauty,105Y,Light Warm,Fair,Warm Golden,Low,
KB_110N,Kay Beauty,110N,Light Neutral,Fair,Neutral,Low,
KB_120Y,Kay Beauty,120Y,Light Warm,Fair,Warm Golden,Low,
KB_125Y,Kay Beauty,125Y,Medium Warm,Medium,Warm Golden,Low,
KB_130Y,Kay Beauty,130Y,Medium Warm,Medium,Warm Golden,Low,
KB_135N,Kay Beauty,135N,Medium Neutral,Medium,Neutral,Low,
KB_140P,Kay Beauty,140P,Medium Cool,Medium,Cool Pink,Low,
KB_145N,Kay Beauty,145N,Medium Neutral,Medium,Neutral,Low,
KB_150N,Kay Beauty,150N,Tan Neutral,Tan,Neutral,Low,
KB_155Y,Kay Beauty,155Y,Tan Warm,Tan,Warm Golden,Low,
KB_160P,Kay Beauty,160P,Tan Cool,Tan,Cool Pink,Low,
KB_165N,Kay Beauty,165N,Tan Neutral,Tan,Neutral,Low,
KB_170Y,Kay Beauty,170Y,Tan Warm,Tan,Warm Olive,Low,
KB_175N,Kay Beauty,175N,Deep Neutral,Deep,Neutral,Low,
KB_180Y,Kay Beauty,180Y,Deep Warm,Deep,Warm Golden,Low,
KB_185P,Kay Beauty,185P,Deep Cool,Deep,Cool Pink,Low,
KB_190Y,Kay Beauty,190Y,Deep Warm,Deep,Warm Olive,Low,
KB_195N,Kay Beauty,195N,Deep Neutral,Deep,Neutral Warm,Low,
,,,,,,,
MFM_115,Maybelline Fit Me,115,Ivory,Fair,Cool Neutral,Medium,
MFM_118,Maybelline Fit Me,118,Light Beige,Fair,Neutral,Medium,
MFM_128,Maybelline Fit Me,128,Warm Nude,Fair,Warm Golden,Medium,
MFM_220,Maybelline Fit Me,220,Natural Beige,Medium,Olive,Medium,
MFM_228,Maybelline Fit Me,228,Soft Tan,Tan,Warm Olive,Medium,Strong olive reference shade
MFM_230,Maybelline Fit Me,230,Natural Buff,Medium,Neutral,Medium,
MFM_310,Maybelline Fit Me,310,Sun Beige,Medium,Neutral Warm,Medium,
MFM_332,Maybelline Fit Me,332,Golden Caramel,Deep,Warm Olive,Medium,
,,,,,,,
LP_C100,Lakme Powerplay,C100,Cool Ivory, Fair,Cool Pink,Low,
LP_W110,Lakme Powerplay,W110,Warm Light,Fair,Warm Golden,Low,
LP_W120,Lakme Powerplay,W120,Warm Crème,Fair,Warm Golden,Low,
LP_C140,Lakme Powerplay,C140,Cool Rose,Fair,Cool Pink,Low,
LP_N150,Lakme Powerplay,N150,Neutral Light,Fair,Neutral,Low,
LP_W160,Lakme Powerplay,W160,Warm Sand,Medium,Warm Golden,Low,
LP_W180,Lakme Powerplay,W180,Warm Natural,Medium,Warm Golden,Low,
LP_N200,Lakme Powerplay,N200,Neutral Nude,Medium,Neutral,Low,
LP_N220,Lakme Powerplay,N220,Neutral Medium,Medium,Neutral Warm,Low,
LP_W230,Lakme Powerplay,W230,Warm Wood,Tan,Warm Golden,Low,
LP_W240,Lakme Powerplay,W240,Warm Beige,Tan,Olive,Low,Olive reference shade
LP_N260,Lakme Powerplay,N260,Neutral Honey,Tan,Neutral Warm,Low,
LP_C280,Lakme Powerplay,C280,Cool Tan,Tan,Cool Neutral,Low,
LP_C300,Lakme Powerplay,C300,Cool Cinnamon,Deep,Cool Neutral,Low,
LP_W320,Lakme Powerplay,W320,Warm Caramel,Deep,Warm Olive,Low,
LP_C330,Lakme Powerplay,C330,Cool Mocha,Deep,Cool Pink,Low,
LP_N340,Lakme Powerplay,N340,Neutral Almond,Deep,Neutral Warm,Low,
LP_N360,Lakme Powerplay,N360,Neutral Chestnut,Deep,Neutral Warm,Low,
LP_C380,Lakme Powerplay,C380,Cool Walnut,Deep,Cool Pink,Low,
LP_C390,Lakme Powerplay,C390,Cool Cocoa,Deep,Cool Pink,Low,
